Location,Time,Value
Nigeria,2014,39.892
Nigeria,2015,38.951
Nigeria,2016,37.771
Nigeria,2017,36.693
Nigeria,2018,35.69
Nigeria,2019,34.685
Nigeria,2020,33.732
Nigeria,2021,33.546
Nigeria,2022,33.192
Nigeria,2023,32.954
Nigeria,2024,32.493
Nigeria,2025,32.167
Uruguay,1950,20.972
Uruguay,1951,21.087
Uruguay,1952,21.273
Uruguay,1953,21.453
Uruguay,1954,21.626
Uruguay,1955,21.591
Uruguay,1956,21.827
Uruguay,1957,21.856
Uruguay,1958,21.888
Uruguay,1959,21.813
Uruguay,1960,21.797
Uruguay,1961,21.814
Uruguay,1962,21.826
Uruguay,1963,21.81
Uruguay,1964,21.48
Uruguay,1965,21.157
Uruguay,1966,20.854
Uruguay,1967,20.467
Uruguay,1968,20.248
Uruguay,1969,20.126
Uruguay,1970,20.06
Uruguay,1971,19.952
Uruguay,1972,19.994
Uruguay,1973,20.449
Uruguay,1974,21.145
Uruguay,1975,21.516
Uruguay,1976,21.384
Uruguay,1977,20.642
Uruguay,1978,20.14
Uruguay,1979,19.334
Uruguay,1980,18.506
Uruguay,1981,18.156
Uruguay,1982,18.031
Uruguay,1983,17.875
Uruguay,1984,17.778
Uruguay,1985,17.779
Uruguay,1986,17.795
Uruguay,1987,17.935
Uruguay,1988,18.083
Uruguay,1989,18.061
Uruguay,1990,17.931
Uruguay,1991,17.799
Uruguay,1992,17.685
Uruguay,1993,17.569
Uruguay,1994,17.737
Uruguay,1995,17.594
Uruguay,1996,17.318
Uruguay,1997,17.025
Uruguay,1998,16.57
Uruguay,1999,16.382
Uruguay,2000,15.952
Uruguay,2001,15.695
Uruguay,2002,15.644
Uruguay,2003,15.275
Uruguay,2004,15.078
Uruguay,2005,15.096
Uruguay,2006,14.829
Uruguay,2007,14.613
Uruguay,2008,14.449
Uruguay,2009,14.328
Uruguay,2010,14.246
Uruguay,2011,14.052
Uruguay,2012,14.208
Uruguay,2013,14.336
Uruguay,2014,14.235
Uruguay,2015,14.302
Uruguay,2016,13.726
Uruguay,2017,12.707
Uruguay,2018,11.687
Uruguay,2019,10.894
Uruguay,2020,10.41
Uruguay,2021,10.071
Uruguay,2022,9.958
Uruguay,2023,9.871
Uruguay,2024,9.802
Uruguay,2025,9.748
