Location,Time,Value
Uruguay,1959,1.285
Uruguay,1960,0.813
Uruguay,1961,0.274
Uruguay,1962,-0.24
Uruguay,1963,-0.651
Uruguay,1964,-0.989
Uruguay,1965,-1.321
Uruguay,1966,-1.699
Uruguay,1967,-2.173
Uruguay,1968,-2.914
Uruguay,1969,-4.019
Uruguay,1970,-4.56
Uruguay,1971,-4.735
Uruguay,1972,-4.897
Uruguay,1973,-5.045
Uruguay,1974,-5.085
Uruguay,1975,-4.996
Uruguay,1976,-4.875
Uruguay,1977,-4.908
Uruguay,1978,-4.994
Uruguay,1979,-4.95
Uruguay,1980,-4.828
Uruguay,1981,-4.582
Uruguay,1982,-4.077
Uruguay,1983,-3.57
Uruguay,1984,-3.241
Uruguay,1985,-2.927
Uruguay,1986,-2.653
Uruguay,1987,-2.24
Uruguay,1988,-2.145
Uruguay,1989,-2.342
Uruguay,1990,-2.416
Uruguay,1991,-2.471
Uruguay,1992,-2.5
Uruguay,1993,-2.51
Uruguay,1994,-2.507
Uruguay,1995,-2.615
Uruguay,1996,-2.307
Uruguay,1997,-2.152
Uruguay,1998,-2.176
Uruguay,1999,-2.287
Uruguay,2000,-3.391
Uruguay,2001,-4.465
Uruguay,2002,-5.172
Uruguay,2003,-5.213
Uruguay,2004,-4.772
Uruguay,2005,-4.896
Uruguay,2006,-4.001
Uruguay,2007,-3.262
Uruguay,2008,-2.864
Uruguay,2009,-2.571
Uruguay,2010,-2.319
Uruguay,2011,-2.099
Uruguay,2012,-1.894
Uruguay,2013,-1.688
Uruguay,2014,-1.466
Uruguay,2015,-1.234
Uruguay,2016,-1.037
Uruguay,2017,-0.912
Uruguay,2018,-0.873
Uruguay,2019,-0.853
Uruguay,2020,-0.436
Uruguay,2021,-0.436
Uruguay,2022,-0.443
Uruguay,2023,-0.443
Uruguay,2024,-0.398
Uruguay,2025,-0.395
